Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,PlateLocHeight,PlateLocSide
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,3.45663,-1.06954
0-0 Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,2.44231,-0.40323
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,3.79209,-0.43982
0-0 Count,Slider,Single,GroundBall,InPlay,-2.723317,-3.683551,23.45922,1.52457,-0.26226
0-0 Count,Fastball,Triple,LineDrive,InPlay,18.574014,22.504314,309.74517,3.21546,-0.79375
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.73254,0.27037
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,0.68941,-1.66424
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,4.9494,0.03156
0-0 Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,62.581275,32.747408,nan,2.72603,0.41145
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,39.769024,166.727864,nan,3.32402,-0.11313
0-0 Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.86711,0.36281
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.40383,-0.34662
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,0.60275,0.25019
0-0 Count,Slider,Out,LineDrive,InPlay,25.113325,13.212199,341.75475,1.59021,-0.14269
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.80345,-0.19084
0-0 Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,2.05908,0.75324
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,3.0859,-0.18628
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,2.22123,-1.47051
0-0 Count,Slider,Single,GroundBall,InPlay,-6.849058,-5.035543,15.74348,2.09943,-1.07516
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,-0.86785,-2.85209
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,0.03659,-0.55868
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.58993,-1.01264
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.28763,-0.58851
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.13523,-1.71722
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.27851,0.02497
0-0 Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,1.9799,-0.82155
0-0 Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,-7.656464,-75.650618,15.40965,2.23602,0.71851
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,2.22479,-1.84397
0-0 Count,ChangeUp,Undefined,Undefined,StrikeSwinging,nan,nan,nan,0.94282,-0.26653
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,2.12273,1.34028
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.38992,-2.03022
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.2035,-2.0405
0-0 Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan,3.1326,0.31048
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,0.80305,-1.63863
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.53553,-0.72809
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,4.1934,-0.43192
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.27061,-0.07149
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.38276,-0.79619
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,2.01693,2.01136
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,2.32541,-2.21092
0-0 Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan,3.58178,2.05282
0-0 Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan,1.91504,0.31448
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,0.65928,0.14722
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,3.35008,-0.36453
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.50045,-0.02903
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,1.37962,-0.87493
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,-0.02974,-1.09659
0-0 Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,14.598157,175.418737,112.92815,3.78144,-0.55163
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.73118,-0.40988
0-0 Count,,,,,nan,nan,nan,nan,nan
0-0 Count,,,,,nan,nan,nan,nan,nan
0-0 Count,,,,,nan,nan,nan,nan,nan
