PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Sinker,Undefined,,,,3.0632,1.27958,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,90.6503,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Sinker,Undefined,,,,3.32858,0.95031,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,91.23389,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Sinker,Out,-7.022008,4.67719,11.64526,1.3857,0.01039,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240926-UArizona-Private-1,Right,106.97652,91.82921,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,0.67304,-0.99031,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,84.32963,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Slider,Undefined,,,,1.87495,-1.00715,StrikeSwinging,Undefined,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240926-UArizona-Private-1,Right,,82.78199,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Slider,Undefined,,,,3.12213,0.8602,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,82.70482,False,False,False,False
,4,"Caulfield, Garen",2.0,1.0,Undefined,Sinker,Undefined,,,,3.81932,-0.78151,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,94.83845,False,False,False,False
,5,"Caulfield, Garen",2.0,2.0,Undefined,Sinker,Undefined,,,,1.56641,-0.04075,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,95.05983,False,False,False,False
,6,"Caulfield, Garen",1.0,3.0,Undefined,Sinker,Undefined,35.282533,161.573359,,2.92623,-0.42907,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,76.7161,95.55431,False,False,False,False
,7,"Caulfield, Garen",2.0,3.0,Undefined,Sinker,Undefined,34.118563,54.487454,,1.62631,-0.18192,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,91.99247,95.04383,False,False,False,False
,8,"Caulfield, Garen",2.0,3.0,Strikeout,Slider,Undefined,,,,2.66105,0.06714,StrikeSwinging,Undefined,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,84.23322,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Undefined,,,,1.15258,0.01942,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,94.24194,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Slider,Undefined,,,,3.77616,0.69478,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,84.64111,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Fastball,Undefined,,,,2.64503,-0.20731,StrikeSwinging,Undefined,,,,1.0,1.0,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,94.26219,False,False,False,False
,4,"Caulfield, Garen",1.0,2.0,Undefined,Fastball,Undefined,,,,2.04963,0.85981,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,93.89965,False,False,False,False
,5,"Caulfield, Garen",1.0,3.0,Undefined,Fastball,Undefined,60.437063,87.320722,,2.51873,-0.19177,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,77.99328,93.71257,False,False,False,False
,6,"Caulfield, Garen",2.0,3.0,Undefined,Fastball,Undefined,56.231876,36.725778,210.12825,2.11605,0.39053,FoulBallFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,78.31776,95.02289,False,False,False,False
,7,"Caulfield, Garen",2.0,3.0,Walk,Curveball,Undefined,,,,3.31997,0.87573,BallCalled,Undefined,,1.0,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,81.49303,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,1.91208,-1.37192,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,,84.9611,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Single,5.253385,-4.434775,98.41474,2.00761,0.62219,InPlay,GroundBall,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,92.24449,92.84193,True,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,ChangeUp,Undefined,,,,-0.11519,-1.04516,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,,81.06041,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,2.67985,0.93455,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,,94.03313,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Sinker,Undefined,,,,3.14061,-1.45738,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,,93.4759,False,False,False,False
,4,"Caulfield, Garen",0.0,3.0,Undefined,Sinker,Out,15.086581,-0.18962,294.8359,1.33581,0.37858,InPlay,LineDrive,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240927-UArizona-Private-1,Left,94.1211,92.77564,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,1.08855,-2.40522,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240928-UArizona-Private-1,Right,,81.10308,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,HomeRun,24.016997,24.306914,366.25133,3.17909,-0.57019,InPlay,FlyBall,1.0,1.0,4.0,1.0,,140.0,0,0,1,,0.0,20240928-UArizona-Private-1,Right,97.42102,92.53106,False,False,False,True
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,1.61833,-1.40048,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240928-UArizona-Private-1,Right,,80.81339,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Sinker,Undefined,,,,2.70187,1.28465,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240928-UArizona-Private-1,Right,,90.11093,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Sinker,Undefined,,,,2.90479,1.54199,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240928-UArizona-Private-1,Right,,89.45175,False,False,False,False
,4,"Caulfield, Garen",0.0,3.0,Undefined,Sinker,Undefined,,,,2.2878,-0.99062,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240928-UArizona-Private-1,Right,,90.85177,False,False,False,False
,5,"Caulfield, Garen",1.0,3.0,Undefined,Sinker,Out,-2.849359,-14.035957,22.46751,1.7081,0.43846,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,,2.0,20240928-UArizona-Private-1,Right,88.92856,90.15873,False,False,False,False
