Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,Location
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,-7.656464,-75.650618,15.40965,"(2.23602, 0.71851)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.22479, -1.84397)"
Pitcher's Count,ChangeUp,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(0.94282, -0.26653)"
Pitcher's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.38276, -0.79619)"
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.37962, -0.87493)"
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(-0.02974, -1.09659)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.81208, 0.25157)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.58639, -0.92815)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.67621, 0.54732)"
Hitter's Count,Fastball,Single,GroundBall,InPlay,6.41766,7.086193,136.40016,"(2.36602, 0.42448)"
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,62.872808,77.71044,nan,"(1.60285, 0.3146)"
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(3.00158, 0.27553)"
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(6.14162, 1.99944)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.71625, -0.92581)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.85362, -1.58232)"
Hitter's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(2.29927, 0.90363)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.09603, -1.76395)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.15014, 0.9676)"
Hitter's Count,Sinker,Out,GroundBall,InPlay,-7.022008,4.67719,11.64526,"(1.3857, 0.01039)"
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,35.282533,161.573359,nan,"(2.92623, -0.42907)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(2.64503, -0.20731)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.04963, 0.85981)"
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,60.437063,87.320722,nan,"(2.51873, -0.19177)"
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.14061, -1.45738)"
Hitter's Count,Sinker,Out,LineDrive,InPlay,15.086581,-0.18962,294.8359,"(1.33581, 0.37858)"
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.90479, 1.54199)"
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.2878, -0.99062)"
Hitter's Count,Sinker,Out,GroundBall,InPlay,-2.849359,-14.035957,22.46751,"(1.7081, 0.43846)"
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,61.985013,126.851201,nan,"(1.90426, 0.36068)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.18677, -1.4149)"
Hitter's Count,Fastball,Out,Popup,InPlay,62.569429,15.419469,nan,"(1.98274, 0.04633)"
Hitter's Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan,"(3.0436, -0.01351)"
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(3.34617, -0.04861)"
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.69338, -0.97952)"
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.5344, 0.52376)"
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.52438, -1.63552)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.75328, -1.19396)"
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.36898, -2.66407)"
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.24695, 0.13209)"
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.85014, 1.02198)"
Hitter's Count,Sinker,Out,LineDrive,InPlay,17.191498,-14.595218,334.45955,"(2.09097, 0.66155)"
Hitter's Count,Sinker,Out,GroundBall,InPlay,-13.057653,11.901112,7.92667,"(1.64094, -1.12165)"
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.38766, 0.852)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.46595, -0.75675)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(3.1192, -0.2211)"
Hitter's Count,Fastball,Out,LineDrive,InPlay,18.322016,22.906783,304.86746,"(1.96203, -0.62373)"
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(2.44231, -0.40323)"
Hitter's Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,62.581275,32.747408,nan,"(2.72603, 0.41145)"
