Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,Angle,Direction,Distance,Location
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Neutral Count,,,,,nan,nan,nan
Pitcher's Count,Curveball,Out,GroundBall,InPlay,-18.385955,-21.31345,5.33365
Pitcher's Count,Curveball,Out,GroundBall,InPlay,-18.385955,-21.31345,5.33365
Pitcher's Count,Slider,Out,GroundBall,InPlay,nan,nan,nan
Pitcher's Count,Slider,Out,GroundBall,InPlay,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,37.149886,61.431252,217.12255
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,37.149886,61.431252,217.12255
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.722631,165.27103,nan
Pitcher's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.722631,165.27103,nan
Pitcher's Count,Fastball,HomeRun,FlyBall,InPlay,26.906398,2.192136,427.63012
Pitcher's Count,Fastball,HomeRun,FlyBall,InPlay,26.906398,2.192136,427.63012
Pitcher's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Single,LineDrive,InPlay,12.722509,-20.077304,283.35727
Pitcher's Count,Fastball,Single,LineDrive,InPlay,12.722509,-20.077304,283.35727
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Curveball,HomeRun,FlyBall,InPlay,30.511815,-24.742441,427.53962
Pitcher's Count,Curveball,HomeRun,FlyBall,InPlay,30.511815,-24.742441,427.53962
Pitcher's Count,Slider,Single,LineDrive,InPlay,18.258283,-28.868481,285.26713
Pitcher's Count,Slider,Single,LineDrive,InPlay,18.258283,-28.868481,285.26713
Pitcher's Count,Slider,Single,GroundBall,InPlay,-2.227883,-3.108514,36.7328
Pitcher's Count,Slider,Single,GroundBall,InPlay,-2.227883,-3.108514,36.7328
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,39.769024,166.727864,nan
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,39.769024,166.727864,nan
Pitcher's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Single,GroundBall,InPlay,-6.849058,-5.035543,15.74348
Pitcher's Count,Slider,Single,GroundBall,InPlay,-6.849058,-5.035543,15.74348
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,-7.656464,-75.650618,15.40965
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,-7.656464,-75.650618,15.40965
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,ChangeUp,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Pitcher's Count,ChangeUp,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Pitcher's Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Single,GroundBall,InPlay,6.41766,7.086193,136.40016
Hitter's Count,Fastball,Single,GroundBall,InPlay,6.41766,7.086193,136.40016
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,62.872808,77.71044,nan
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,62.872808,77.71044,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Out,GroundBall,InPlay,-7.022008,4.67719,11.64526
Hitter's Count,Sinker,Out,GroundBall,InPlay,-7.022008,4.67719,11.64526
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,35.282533,161.573359,nan
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,35.282533,161.573359,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,60.437063,87.320722,nan
Hitter's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,60.437063,87.320722,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Out,LineDrive,InPlay,15.086581,-0.18962,294.8359
Hitter's Count,Sinker,Out,LineDrive,InPlay,15.086581,-0.18962,294.8359
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Sinker,Out,GroundBall,InPlay,-2.849359,-14.035957,22.46751
Hitter's Count,Sinker,Out,GroundBall,InPlay,-2.849359,-14.035957,22.46751
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,61.985013,126.851201,nan
Hitter's Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,61.985013,126.851201,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Out,Popup,InPlay,62.569429,15.419469,nan
Hitter's Count,Fastball,Out,Popup,InPlay,62.569429,15.419469,nan
Hitter's Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan
Hitter's Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
