PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,1.15258,0.01942,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,94.24194
,2,"Caulfield, Garen",Slider,Undefined,,,,,3.77616,0.69478,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.64111
,3,"Caulfield, Garen",Fastball,Undefined,,,,,2.64503,-0.20731,Hitter's Count,StrikeSwinging,,Undefined,,,,Right,Undefined,,,,1.0,1.0,94.26219
,4,"Caulfield, Garen",Fastball,Undefined,,,,,2.04963,0.85981,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,93.89965
,5,"Caulfield, Garen",Fastball,Undefined,60.437063,87.320722,-87.320722,,2.51873,-0.19177,Hitter's Count,FoulBallNotFieldable,77.99328,Undefined,,,,Right,Undefined,1.10195,2.48824,0.19668,,,93.71257
,6,"Caulfield, Garen",Fastball,Undefined,56.231876,36.725778,-36.725778,210.12825,2.11605,0.39053,Full Count,FoulBallFieldable,78.31776,Undefined,75.61078,116.85124,79.89368,Right,Undefined,1.78215,1.98563,-0.47807,,,95.02289
,7,"Caulfield, Garen",Curveball,Undefined,,,,,3.31997,0.87573,Full Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,81.49303
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.91208,-1.37192,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.9611
,2,"Caulfield, Garen",Fastball,Single,5.253385,-4.434775,4.434775,98.41474,2.00761,0.62219,Neutral Count,InPlay,92.24449,Undefined,,,,Right,GroundBall,1.61041,1.90441,-0.59184,1.0,,92.84193
1.0,1,"Caulfield, Garen",ChangeUp,Undefined,,,,,-0.11519,-1.04516,0-0 Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,81.06041
,2,"Caulfield, Garen",Fastball,Undefined,,,,,2.67985,0.93455,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,94.03313
,3,"Caulfield, Garen",Sinker,Undefined,,,,,3.14061,-1.45738,Hitter's Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,93.4759
,4,"Caulfield, Garen",Sinker,Out,15.086581,-0.18962,0.18962,294.8359,1.33581,0.37858,Hitter's Count,InPlay,94.1211,Undefined,109.97427,23.71896,2.37087,Left,LineDrive,1.84705,1.54556,-0.33493,1.0,,92.77564
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.08855,-2.40522,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,81.10308
,2,"Caulfield, Garen",Fastball,HomeRun,24.016997,24.306914,-24.306914,366.25133,3.17909,-0.57019,Neutral Count,InPlay,97.42102,Undefined,96.59076,43.50904,52.63182,Right,FlyBall,0.90752,2.92739,0.45255,1.0,,92.53106
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.61833,-1.40048,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,80.81339
,2,"Caulfield, Garen",Sinker,Undefined,,,,,2.70187,1.28465,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.11093
,3,"Caulfield, Garen",Sinker,Undefined,,,,,2.90479,1.54199,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,89.45175
,4,"Caulfield, Garen",Sinker,Undefined,,,,,2.2878,-0.99062,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,90.85177
,5,"Caulfield, Garen",Sinker,Out,-2.849359,-14.035957,14.035957,22.46751,1.7081,0.43846,Hitter's Count,InPlay,88.92856,Undefined,,,,Right,GroundBall,1.71606,1.62124,-0.43569,1.0,,90.15873
