PA,PitchofPA,Pitcher,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,RunsScored,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ExitSpeed,RelSpeed,PreviousPitch,called_strike,ooz,Angle,Direction,Distance,PitchCall,TaggedHitType,k,bb,bbspin,pitches,zone,izswing,izmiss,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,BatterSide,PitcherThrows,PositionAt110X,PositionAt110Y,PositionAt110Z,is_single,is_double,is_triple,is_home_run,CountType,pitch_category
,5,"Berg, Jack",2.0,2.0,Undefined,ChangeUp,Undefined,0.0,-1.298001,4.815464,1654.598615,255.261795,8:30,5.46036,-3.0346,5.22316,-45.32215,-2.09205,-13.53926,0.45865,0.37516,,81.94774,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,Pitcher's Count,0
,6,"Berg, Jack",2.0,3.0,Walk,Sinker,Undefined,0.0,-1.187011,5.761363,2004.962639,293.607811,9:45,5.60329,-2.86421,5.64874,-25.60474,7.43111,-14.62828,2.35662,1.3088,,92.63965,ChangeUp,0,1,,,,BallCalled,Undefined,,1.0,,1,,,,,1.0,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,Full Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Out,0.0,-0.436949,4.779949,1594.936242,276.435765,9:15,5.47909,-2.94129,5.01807,-38.91266,3.17355,-16.01662,1.82256,0.24554,92.21696,83.08828,,0,0,49.960623,-11.46948,260.59401,InPlay,FlyBall,,,4522.530893,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240920-UArizona-Private-1,Right,Left,109.1824,121.35136,-13.38657,False,False,False,False,0-0 Count,0
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,1.351662,3.111384,2335.572589,73.376173,2:30,5.48097,-3.0779,4.84058,-39.15278,2.41634,3.92335,3.50018,0.19794,,83.57421,,0,0,,,,BallCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Slider,Undefined,0.0,-0.51043,4.495489,2387.677316,119.020841,4:00,5.52114,-3.0396,5.14276,-43.44018,-0.51409,3.17732,1.41903,1.4667,,81.79704,Slider,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",1.0,1.0,Undefined,Sinker,Undefined,0.0,0.221525,3.781124,1981.114261,307.372359,10:15,5.7938,-3.10839,4.98511,-20.34741,12.14914,-14.58461,4.30783,-0.74799,,94.31595,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,4,"Berg, Jack",1.0,2.0,Undefined,Slider,Undefined,0.0,-0.181137,4.029267,2308.509914,77.23245,2:30,5.26774,-2.96245,4.91751,-43.61766,2.22795,3.68756,1.46125,1.16082,,79.5787,Sinker,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,3
,5,"Berg, Jack",2.0,2.0,Undefined,Slider,Undefined,0.0,2.060919,0.933568,2327.250209,116.005592,3:45,5.61771,-2.90834,4.83383,-42.13585,-0.69709,3.82862,4.0591,-1.70515,,83.3929,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,3
,6,"Berg, Jack",2.0,3.0,Undefined,Sinker,Undefined,0.0,-0.515454,5.072853,1863.430403,300.436651,10:00,5.63033,-3.00438,5.37573,-22.9284,9.79898,-15.0108,3.23448,0.51301,,93.23176,Slider,0,0,,,,FoulBallNotFieldable,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,2
,7,"Berg, Jack",2.0,3.0,Walk,Slider,Undefined,0.0,-1.672566,3.838773,2343.217627,145.444053,4:45,5.37782,-3.00002,5.06326,-43.67073,-1.02669,1.60945,0.15744,0.75932,,82.35498,Sinker,0,1,,,,BallCalled,Undefined,,1.0,,1,,,,,1.0,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.321564,4.723693,1582.058048,262.695809,8:45,5.34841,-2.97546,5.15769,-43.68341,-0.47909,-13.85654,0.45967,0.32639,,81.52673,,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",1.0,0.0,Undefined,Slider,Undefined,0.0,-1.328679,3.814343,2238.391373,145.069008,4:45,5.1919,-2.94533,4.95212,-45.63876,-0.71083,1.52354,0.1302,0.79112,,80.63984,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",1.0,1.0,Undefined,ChangeUp,Undefined,0.0,-0.699016,1.712233,1550.81086,256.875318,8:30,5.54278,-2.95935,4.84468,-43.59368,-1.89945,-13.66973,1.24784,-2.47691,,83.4261,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,0
,4,"Berg, Jack",1.0,2.0,Undefined,Sinker,Out,0.0,-1.246481,4.318293,2111.649081,294.900434,9:45,5.66073,-3.21072,4.60067,-23.93332,9.4491,-18.00477,2.47728,-0.59649,94.65178,93.97315,ChangeUp,0,0,-13.079843,15.838012,12.24613,InPlay,GroundBall,,,,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Fastball,Undefined,0.0,-2.996332,5.272716,2110.8896,330.123405,11:00,5.6255,-2.87194,4.91533,-19.45899,13.96123,-7.43374,1.15613,1.50826,,93.27737,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,0-0 Count,1
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-1.075089,3.313912,2161.209234,327.848503,11:00,5.54966,-3.00174,4.67485,-22.73033,11.40835,-6.57701,2.63259,-0.39896,,92.04324,Fastball,0,0,,,,FoulBallNotFieldable,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,1
,3,"Berg, Jack",1.0,1.0,Undefined,Slider,Undefined,0.0,2.222474,3.3011,2527.200604,116.553849,4:00,5.36852,-3.1331,4.54967,-45.65971,-1.68173,5.42902,3.68374,0.46518,,80.92389,Fastball,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,3
,4,"Berg, Jack",1.0,2.0,Undefined,Sinker,Undefined,0.0,-1.923283,4.699516,1985.993309,289.756473,9:45,5.55324,-3.1088,4.72657,-27.84612,5.80221,-13.44013,1.40101,0.24028,,92.93819,Slider,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Hitter's Count,2
,5,"Berg, Jack",2.0,2.0,Strikeout,Sinker,Undefined,0.0,-2.158476,4.475671,2010.035194,288.992509,9:45,5.56217,-3.08213,4.7417,-28.00761,5.76174,-13.98048,1.17351,0.00698,,92.60497,Sinker,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Pitcher's Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.863657,2.720954,1462.095074,254.562837,8:30,5.44505,-2.90458,4.6132,-45.42747,-1.16394,-8.75575,-0.11519,-1.04516,,81.06041,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-1.5784,4.936327,2176.129518,321.311932,10:45,5.70083,-2.84696,4.66844,-18.18926,14.71485,-11.0267,2.67985,0.93455,,94.03313,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,1
